"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CMx"      ,       "CMy"      ,       "CMz"      
          0,           0,         160,      -11.20762905,      -11.25696428,      -11.73078667,      -10.48970873,     0.03515774409,      0.6575889387,                 0,                 0,     0.02252878512
          0,           0,         161,      -11.26490711,      -11.31222393,      -11.78342642,      -10.54227871,     0.03515774407,      0.6575889385,                 0,                 0,     0.02252878508
          0,           0,         162,      -11.33381429,      -11.36772889,      -11.84280561,        -10.617873,     0.03515774406,      0.6575889384,                 0,                 0,     0.02252878506
          0,           0,         163,       -11.4027106,      -11.42760329,      -11.91792071,      -10.68734686,     0.03515774405,      0.6575889382,                 0,                 0,     0.02252878504
          0,           0,         164,      -11.47107039,      -11.48868803,      -11.98686113,      -10.75126215,     0.03515774404,      0.6575889381,                 0,                 0,     0.02252878502
          0,           0,         165,      -11.53994155,       -11.5510641,       -12.0506198,      -10.81534069,     0.03515774404,       0.657588938,                 0,                 0,     0.02252878503
          0,           0,         166,      -11.61518551,      -11.61479464,      -12.11907979,      -10.88750629,     0.03515774404,      0.6575889381,                 0,                 0,     0.02252878504
          0,           0,         167,      -11.69893406,      -11.68104833,      -12.19534609,      -10.96816156,     0.03515774404,      0.6575889381,                 0,                 0,     0.02252878506
          0,           0,         168,      -11.79555396,      -11.75109233,      -12.27940746,      -11.06182682,     0.03515774404,      0.6575889381,                 0,                 0,     0.02252878508
          0,           0,         169,      -11.90507959,      -11.82519087,      -12.36528171,      -11.16798462,     0.03515774405,      0.6575889382,                 0,                 0,      0.0225287851
          0,           0,         170,      -12.02121001,      -11.90091017,      -12.44330204,      -11.28368932,     0.03515774405,      0.6575889382,                 0,                 0,     0.02252878511
