|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
|         223|  2.3670e-01|   -7.444780|   -9.103364|    0.607049|    0.012147|    0.015380|
|         224|  2.3665e-01|   -7.447055|   -9.094265|    0.606916|    0.012134|    0.015332|
|         225|  2.3696e-01|   -7.449535|   -9.085307|    0.606801|    0.012123|    0.015289|
|         226|  2.3699e-01|   -7.452178|   -9.076504|    0.606699|    0.012113|    0.015248|
|         227|  2.3720e-01|   -7.454953|   -9.067851|    0.606607|    0.012104|    0.015209|
|         228|  2.3741e-01|   -7.457838|   -9.059346|    0.606518|    0.012095|    0.015169|
|         229|  2.3741e-01|   -7.460814|   -9.050986|    0.606427|    0.012085|    0.015127|
|         230|  2.3742e-01|   -7.463861|   -9.042773|    0.606328|    0.012074|    0.015081|
|         231|  2.3731e-01|   -7.466951|   -9.034709|    0.606217|    0.012062|    0.015031|
|         232|  2.3720e-01|   -7.470051|   -9.026790|    0.606090|    0.012049|    0.014976|
|         233|  2.3738e-01|   -7.473123|   -9.019018|    0.605943|    0.012033|    0.014914|
|         234|  2.3764e-01|   -7.476125|   -9.011391|    0.605773|    0.012015|    0.014847|
|         235|  2.3777e-01|   -7.479022|   -9.003910|    0.605581|    0.011996|    0.014774|
|         236|  2.3794e-01|   -7.481790|   -8.996568|    0.605365|    0.011974|    0.014695|
|         237|  2.3795e-01|   -7.484419|   -8.989357|    0.605127|    0.011952|    0.014613|
|         238|  2.3795e-01|   -7.486920|   -8.982291|    0.604869|    0.011928|    0.014527|
|         239|  2.3794e-01|   -7.489320|   -8.975372|    0.604594|    0.011903|    0.014439|
|         240|  2.3793e-01|   -7.491663|   -8.968601|    0.604306|    0.011878|    0.014350|
|         241|  2.3790e-01|   -7.493997|   -8.961978|    0.604007|    0.011854|    0.014261|
|         242|  2.3784e-01|   -7.496374|   -8.955503|    0.603703|    0.011830|    0.014174|
|         243|  2.3774e-01|   -7.498835|   -8.949183|    0.603398|    0.011807|    0.014090|
|         244|  2.3786e-01|   -7.501404|   -8.943021|    0.603095|    0.011785|    0.014009|
|         245|  2.3776e-01|   -7.504089|   -8.937019|    0.602798|    0.011765|    0.013932|
|         246|  2.3769e-01|   -7.506873|   -8.931182|    0.602509|    0.011746|    0.013861|
|         247|  2.3764e-01|   -7.509718|   -8.925513|    0.602231|    0.011730|    0.013794|
|         248|  2.3752e-01|   -7.512566|   -8.920013|    0.601963|    0.011715|    0.013732|
|         249|  2.3742e-01|   -7.515349|   -8.914691|    0.601707|    0.011702|    0.013674|
|         250|  2.3730e-01|   -7.517987|   -8.909551|    0.601462|    0.011691|    0.013620|
+-----------------------------------------------------------------------+
|        File Writing Summary       |              Filename             |
+-----------------------------------------------------------------------+
|SU2 binary restart                 |restart_flow.dat                   |
|Paraview                           |flow.vtu                           |
|Paraview surface                   |surface_flow.vtu                   |
+-----------------------------------------------------------------------+
+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
+------------------------------------------------------------------------------------------+
|         251|  2.3758e-01|   -7.520402|   -8.904598|    0.601227|    0.011681|    0.013570|
|         252|  2.3749e-01|   -7.522515|   -8.899837|    0.601001|    0.011671|    0.013522|
|         253|  2.3738e-01|   -7.524258|   -8.895270|    0.600780|    0.011663|    0.013476|
|         254|  2.3735e-01|   -7.525571|   -8.890901|    0.600563|    0.011656|    0.013432|
|         255|  2.3730e-01|   -7.526410|   -8.886734|    0.600348|    0.011648|    0.013387|
|         256|  2.3725e-01|   -7.526744|   -8.882768|    0.600132|    0.011641|    0.013342|
|         257|  2.3719e-01|   -7.526557|   -8.879012|    0.599913|    0.011633|    0.013297|
|         258|  2.3722e-01|   -7.525847|   -8.875469|    0.599689|    0.011626|    0.013250|
|         259|  2.3728e-01|   -7.524627|   -8.872140|    0.599459|    0.011617|    0.013201|
|         260|  2.3725e-01|   -7.522923|   -8.869026|    0.599222|    0.011609|    0.013151|
|         261|  2.3719e-01|   -7.520774|   -8.866129|    0.598976|    0.011600|    0.013099|
|         262|  2.3715e-01|   -7.518229|   -8.863450|    0.598723|    0.011590|    0.013046|
|         263|  2.3710e-01|   -7.515346|   -8.860988|    0.598462|    0.011580|    0.012991|
|         264|  2.3731e-01|   -7.512190|   -8.858743|    0.598194|    0.011570|    0.012936|
|         265|  2.3731e-01|   -7.508829|   -8.856713|    0.597920|    0.011560|    0.012880|
|         266|  2.3749e-01|   -7.505329|   -8.854897|    0.597641|    0.011550|    0.012824|
|         267|  2.3752e-01|   -7.501755|   -8.853292|    0.597360|    0.011540|    0.012769|
|         268|  2.3754e-01|   -7.498166|   -8.851897|    0.597078|    0.011531|    0.012715|
|         269|  2.3755e-01|   -7.494613|   -8.850709|    0.596796|    0.011522|    0.012662|
|         270|  2.3749e-01|   -7.491140|   -8.849722|    0.596517|    0.011514|    0.012611|
|         271|  2.3752e-01|   -7.487783|   -8.848938|    0.596241|    0.011507|    0.012563|
|         272|  2.3749e-01|   -7.484567|   -8.848350|    0.595970|    0.011501|    0.012516|
|         273|  2.3746e-01|   -7.481512|   -8.847954|    0.595705|    0.011495|    0.012472|
|         274|  2.3763e-01|   -7.478633|   -8.847749|    0.595445|    0.011491|    0.012431|
|         275|  2.3767e-01|   -7.475938|   -8.847731|    0.595193|    0.011487|    0.012391|
|         276|  2.3778e-01|   -7.473434|   -8.847898|    0.594946|    0.011484|    0.012354|
|         277|  2.3776e-01|   -7.471126|   -8.848248|    0.594705|    0.011482|    0.012318|
|         278|  2.3775e-01|   -7.469018|   -8.848776|    0.594470|    0.011480|    0.012284|
|         279|  2.3772e-01|   -7.467111|   -8.849479|    0.594239|    0.011479|    0.012251|
|         280|  2.3773e-01|   -7.465410|   -8.850354|    0.594012|    0.011479|    0.012219|
|         281|  2.3779e-01|   -7.463919|   -8.851397|    0.593787|    0.011478|    0.012187|
|         282|  2.3801e-01|   -7.462639|   -8.852609|    0.593564|    0.011478|    0.012156|
|         283|  2.3805e-01|   -7.461576|   -8.853985|    0.593342|    0.011478|    0.012124|
|         284|  2.3821e-01|   -7.460732|   -8.855521|    0.593119|    0.011478|    0.012092|
|         285|  2.3828e-01|   -7.460110|   -8.857214|    0.592895|    0.011477|    0.012059|
|         286|  2.3825e-01|   -7.459712|   -8.859059|    0.592669|    0.011477|    0.012025|
|         287|  2.3827e-01|   -7.459542|   -8.861056|    0.592441|    0.011476|    0.011991|
|         288|  2.3856e-01|   -7.459600|   -8.863195|    0.592211|    0.011475|    0.011956|
|         289|  2.3872e-01|   -7.459889|   -8.865472|    0.591979|    0.011474|    0.011921|
|         290|  2.3895e-01|   -7.460408|   -8.867881|    0.591745|    0.011472|    0.011885|
