"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         179,      -7.191396452,      -7.758527377,      -7.600928859,      -6.636365563
          0,           0,         180,      -7.208716747,      -7.780005124,      -7.625412062,       -6.65395313
          0,           0,         181,      -7.225356942,      -7.799215389,      -7.651919677,      -6.670927681
          0,           0,         182,      -7.241511551,      -7.816196423,      -7.680242323,      -6.687452994
          0,           0,         183,      -7.257412437,      -7.831064802,      -7.710101655,      -6.703731505
          0,           0,         184,      -7.273239735,      -7.844069471,      -7.741157315,      -6.719913677
          0,           0,         185,      -7.289187478,      -7.855648045,      -7.772879116,       -6.73618145
          0,           0,         186,      -7.305404964,       -7.86628036,      -7.804711223,      -6.752669514
          0,           0,         187,      -7.321985311,       -7.87641361,      -7.836055567,      -6.769462491
          0,           0,         188,      -7.338981635,      -7.886488797,       -7.86617284,      -6.786617918
          0,           0,         189,      -7.356426853,      -7.896892003,        -7.8943977,       -6.80417293
          0,           0,         190,       -7.37433823,      -7.907961167,      -7.920038694,      -6.822143679
          0,           0,         191,      -7.392663407,      -7.919989664,      -7.942617594,      -6.840477527
          0,           0,         192,      -7.411351812,      -7.933183312,      -7.961847523,      -6.859125923
          0,           0,         193,      -7.430352249,      -7.947692513,      -7.977776439,      -6.878036605
          0,           0,         194,      -7.449615405,      -7.963668384,      -7.990694587,      -6.897159816
          0,           0,         195,       -7.46904382,      -7.981195116,      -8.001295425,      -6.916398871
          0,           0,         196,        -7.4885407,      -8.000312954,      -8.010140026,      -6.935665188
          0,           0,         197,      -7.508049974,       -8.02104963,      -8.017963441,      -6.954912454
          0,           0,         198,      -7.527567772,      -8.043334132,      -8.025454203,      -6.974148903
          0,           0,         199,      -7.547069859,      -8.067080854,      -8.033216081,      -6.993362452
          0,           0,         200,      -7.566538709,      -8.092128303,       -8.04177511,       -7.01254612
          0,           0,         201,       -7.58597096,      -8.118248453,      -8.051575293,      -7.031713431
          0,           0,         202,      -7.605374437,       -8.14514742,      -8.062923514,      -7.050891795
          0,           0,         203,      -7.624791016,      -8.172472809,      -8.076090235,       -7.07013867
          0,           0,         204,      -7.644210421,      -8.199830773,      -8.091276244,      -7.089455388
          0,           0,         205,      -7.663669827,      -8.226819023,      -8.108455957,      -7.108899716
          0,           0,         206,      -7.683202145,      -8.253004056,      -8.127612981,       -7.12850993
          0,           0,         207,      -7.702830709,      -8.277967005,      -8.148798842,      -7.148306141
          0,           0,         208,      -7.722568108,      -8.301364346,       -8.17208005,      -7.168295429
          0,           0,         209,      -7.742431348,      -8.322960519,      -8.197422704,       -7.18848807
          0,           0,         210,       -7.76239106,       -8.34268051,      -8.224562338,      -7.208844436
          0,           0,         211,      -7.782400725,      -8.360644929,      -8.253134667,       -7.22930872
          0,           0,         212,      -7.802412717,      -8.377098519,      -8.282790909,        -7.2498152
          0,           0,         213,      -7.822367419,      -8.392348003,      -8.313139703,      -7.270280255
          0,           0,         214,      -7.842177772,       -8.40674938,       -8.34361192,      -7.290595698
          0,           0,         215,      -7.861736986,      -8.420690189,      -8.373458156,      -7.310635956
          0,           0,         216,      -7.880932344,      -8.434517211,      -8.401857443,      -7.330267379
          0,           0,         217,      -7.899685323,      -8.448512464,      -8.428107757,      -7.349395395
          0,           0,         218,      -7.917897951,       -8.46294521,      -8.451502677,      -7.367903716
          0,           0,         219,      -7.935450108,      -8.477963001,      -8.471347002,      -7.385657608
          0,           0,         220,      -7.952247141,      -8.493595606,      -8.487316229,      -7.402548475
          0,           0,         221,      -7.968239335,      -8.509784598,      -8.499599031,      -7.418515062
          0,           0,         222,      -7.983402327,      -8.526408965,      -8.508724529,      -7.433531672
          0,           0,         223,      -7.997743538,      -8.543277359,      -8.515362585,      -7.447615914
          0,           0,         224,      -8.011317141,      -8.560138852,      -8.520244373,      -7.460837865
          0,           0,         225,      -8.024220852,      -8.576702847,      -8.524124586,      -7.473313966
          0,           0,         226,      -8.036588174,      -8.592652868,      -8.527630809,      -7.485198206
          0,           0,         227,      -8.048540426,      -8.607699161,      -8.531477587,      -7.496630544
          0,           0,         228,      -8.060215206,      -8.621600862,      -8.536242903,      -7.507770398
          0,           0,         229,      -8.071748717,      -8.634189871,      -8.542307125,      -7.518776416
          0,           0,         230,      -8.083267836,      -8.645399436,      -8.549925512,      -7.529795784
          0,           0,         231,       -8.09490271,      -8.655263184,       -8.55929076,      -7.540975211
          0,           0,         232,      -8.106777097,      -8.663912949,      -8.570552679,      -7.552451056
          0,           0,         233,      -8.119010819,      -8.671572059,      -8.583796207,      -7.564355622
          0,           0,         234,      -8.131685809,      -8.678531976,      -8.599038225,      -7.576773694
          0,           0,         235,      -8.144887062,      -8.685113994,      -8.616302698,      -7.589793967
          0,           0,         236,      -8.158693771,      -8.691638142,      -8.635591245,       -7.60349463
          0,           0,         237,      -8.173168146,      -8.698408769,      -8.656817825,      -7.617935405
          0,           0,         238,      -8.188372759,      -8.705713893,      -8.679829246,      -7.633174448
          0,           0,         239,      -8.204355735,       -8.71378828,      -8.704484812,       -7.64924921
          0,           0,         240,      -8.221129717,      -8.722834829,      -8.730583272,      -7.666163642
          0,           0,         241,      -8.238700305,      -8.733017076,      -8.757871018,      -7.683915063
          0,           0,         242,      -8.257068231,      -8.744465793,      -8.785979924,      -7.702496537
          0,           0,         243,      -8.276214018,      -8.757289082,      -8.814447591,      -7.721876468
          0,           0,         244,      -8.296097302,      -8.771569374,      -8.842687785,      -7.742002924
          0,           0,         245,      -8.316657659,      -8.787373258,      -8.870035182,      -7.762804713
          0,           0,         246,      -8.337817182,      -8.804751872,       -8.89582482,      -7.784192341
          0,           0,         247,      -8.359478952,      -8.823742748,      -8.919470542,      -7.806056352
          0,           0,         248,      -8.381530606,      -8.844368233,      -8.940506821,      -7.828274107
          0,           0,         249,      -8.403838227,      -8.866625622,      -8.958685262,      -7.850704247
          0,           0,         250,      -8.426275899,      -8.890488362,      -8.974034831,      -7.873216052
          0,           0,         251,      -8.448720423,      -8.915919325,       -8.98683033,      -7.895683616
          0,           0,         252,      -8.471042513,      -8.942871005,      -8.997521868,      -7.917977466
          0,           0,         253,      -8.493120353,       -8.97126686,      -9.006667289,      -7.939978868
          0,           0,         254,      -8.514852598,      -9.000986222,      -9.014885823,      -7.961592581
          0,           0,         255,      -8.536161716,      -9.031858165,      -9.022806483,      -7.982750443
          0,           0,         256,      -8.556993664,      -9.063656925,      -9.031006794,       -8.00341134
          0,           0,         257,      -8.577318751,       -9.09609138,      -9.039970357,      -8.023561281
          0,           0,         258,      -8.597133089,      -9.128793075,      -9.050079528,      -8.043213389
          0,           0,         259,      -8.616457702,      -9.161313116,      -9.061630499,      -8.062405717
          0,           0,         260,      -8.635334417,      -9.193132031,      -9.074850437,      -8.081195969
          0,           0,         261,       -8.65382003,      -9.223684531,      -9.089907441,      -8.099654447
          0,           0,         262,      -8.671980425,      -9.252403425,      -9.106914644,      -8.117857107
          0,           0,         263,      -8.689885379,      -9.278782824,      -9.125932238,      -8.135879702
          0,           0,         264,      -8.707604149,      -9.302450824,      -9.146968842,      -8.153793099
          0,           0,         265,      -8.725204807,      -9.323234479,      -9.169990101,      -8.171661809
          0,           0,         266,      -8.742736952,      -9.341171522,      -9.194896836,      -8.189527127
          0,           0,         267,      -8.760256927,       -9.35654203,      -9.221545065,      -8.207438637
          0,           0,         268,      -8.777803219,      -9.369813913,      -9.249677017,      -8.225420201
          0,           0,         269,      -8.795393558,      -9.381561594,      -9.278956922,      -8.243471901
          0,           0,         270,      -8.813041686,      -9.392367908,      -9.308944097,      -8.261589984
          0,           0,         271,      -8.830738599,      -9.402798722,      -9.339060903,      -8.279747428
          0,           0,         272,      -8.848476041,      -9.413370218,      -9.368610411,      -8.297915843
          0,           0,         273,      -8.866239365,      -9.424520115,      -9.396825234,       -8.31606031
          0,           0,         274,      -8.884002712,       -9.43660425,      -9.422924502,      -8.334137321
          0,           0,         275,      -8.901734173,      -9.449894163,      -9.446184802,      -8.352100433
          0,           0,         276,      -8.919397898,      -9.464579588,      -9.466081007,      -8.369901269
          0,           0,         277,      -8.936969589,      -9.480779622,      -9.482424617,      -8.387506618
          0,           0,         278,      -8.954432238,      -9.498560571,      -9.495342569,      -8.404897198
          0,           0,         279,      -8.971768782,      -9.517934692,      -9.505239626,      -8.422061258
          0,           0,         280,      -8.988976809,      -9.538854832,      -9.512727586,      -8.439007402
          0,           0,         281,      -9.006069812,      -9.561222949,      -9.518557599,      -8.455762322
          0,           0,         282,       -9.02307029,      -9.584896458,      -9.523528603,      -8.472363617
          0,           0,         283,      -9.040016726,      -9.609679757,      -9.528390984,      -8.488869294
          0,           0,         284,      -9.056944652,      -9.635306007,      -9.533745367,      -8.505332922
          0,           0,         285,      -9.073879876,      -9.661460429,      -9.540058598,      -8.521800663
          0,           0,         286,      -9.090867597,      -9.687775055,      -9.547726535,      -8.538339969
          0,           0,         287,      -9.107962204,      -9.713841353,      -9.557068941,      -8.555023974
          0,           0,         288,        -9.1252166,      -9.739246741,      -9.568309232,      -8.571922463
          0,           0,         289,      -9.142676527,      -9.763607509,      -9.581588364,      -8.589096889
          0,           0,         290,      -9.160379226,      -9.786595277,      -9.596998176,      -8.606597652
          0,           0,         291,      -9.178353418,      -9.807966735,      -9.614599542,      -8.624463234
          0,           0,         292,      -9.196617742,      -9.827597627,      -9.634418817,      -8.642718684
          0,           0,         293,      -9.215179674,      -9.845495608,      -9.656439551,      -8.661374877
          0,           0,         294,      -9.234022132,      -9.861830759,      -9.680551262,      -8.680416387
          0,           0,         295,      -9.253136894,      -9.876892763,      -9.706659512,      -8.699827662
          0,           0,         296,      -9.272496168,      -9.890964141,      -9.734600243,      -8.719568224
          0,           0,         297,      -9.292034328,      -9.904381541,      -9.764078197,      -8.739561511
          0,           0,         298,       -9.31167844,      -9.917504871,      -9.794652384,      -8.759720869
          0,           0,         299,      -9.331350796,      -9.930672529,      -9.825759083,      -8.779946826
          0,           0,         300,      -9.350957683,      -9.944175444,        -9.8567201,      -8.800118809
          0,           0,         301,      -9.370390096,      -9.958241737,      -9.886729732,       -8.82009983
          0,           0,         302,      -9.389532994,      -9.973036175,      -9.914876287,      -8.839746585
          0,           0,         303,      -9.408272572,       -9.98866596,      -9.940232432,      -8.858917558
          0,           0,         304,      -9.426497754,      -10.00518523,      -9.962016112,      -8.877475284
          0,           0,         305,       -9.44410609,      -10.02259649,      -9.979695491,      -8.895294614
          0,           0,         306,        -9.4610005,      -10.04082034,       -9.99318599,      -8.912260732
          0,           0,         307,      -9.477125102,      -10.05968098,      -10.00289062,      -8.928310357
          0,           0,         308,      -9.492461866,      -10.07892816,      -10.00955774,      -8.943430102
          0,           0,         309,      -9.507021415,      -10.09825937,      -10.01407588,      -8.957646039
          0,           0,         310,      -9.520851193,      -10.11731526,      -10.01732952,      -8.971029031
          0,           0,         311,      -9.534038254,       -10.1356923,      -10.02014155,      -8.983693741
          0,           0,         312,      -9.546700181,      -10.15297813,      -10.02324213,      -8.995786865
          0,           0,         313,      -9.558972569,      -10.16879409,       -10.0272342,      -9.007472665
          0,           0,         314,      -9.570999709,      -10.18283902,      -10.03257451,      -9.018921732
          0,           0,         315,      -9.582928678,      -10.19492845,      -10.03958463,      -9.030303622
          0,           0,         316,      -9.594904428,      -10.20502064,      -10.04848087,      -9.041781349
          0,           0,         317,      -9.607064926,      -10.21322502,      -10.05940404,      -9.053506463
