"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         221,      -4.807090365,      -1.869169378,      -1.883436522,      -1.881832163,      0.6721009646
          0,           0,         222,      -4.819490439,      -1.877392866,      -1.893338049,      -1.890728147,      0.6591779282
          0,           0,         223,       -4.83219236,      -1.887431616,      -1.903727791,      -1.900045409,       0.645866997
          0,           0,         224,      -4.844872633,      -1.899117982,      -1.914511848,       -1.90973264,      0.6325153901
          0,           0,         225,      -4.857152044,      -1.912244983,      -1.925581332,      -1.919724583,      0.6195336995
          0,           0,         226,      -4.868646318,      -1.926557521,      -1.936810953,      -1.929945582,       0.607349612
          0,           0,         227,      -4.878995332,      -1.941749538,      -1.948062413,      -1.940305556,      0.5963741553
          0,           0,         228,      -4.887907775,      -1.957465604,      -1.959185449,      -1.950699401,      0.5869523007
          0,           0,         229,      -4.895189526,      -1.973307946,      -1.970019569,      -1.961004541,      0.5793268426
          0,           0,         230,       -4.90074542,      -1.988850022,      -1.980396972,       -1.97108019,      0.5736284307
          0,           0,         231,      -4.904562434,      -2.003654842,        -1.9901519,      -1.980771336,      0.5698866921
          0,           0,         232,      -4.906703579,      -2.017303367,       -1.99913357,      -1.989922297,       0.568035069
          0,           0,         233,      -4.907322406,      -2.029430234,      -2.007225298,      -1.998395278,       0.567899241
          0,           0,         234,      -4.906692005,       -2.03976921,      -2.014358848,      -2.006089731,      0.5691728051
          0,           0,         235,      -4.905205972,      -2.048196225,      -2.020524093,      -2.012952858,      0.5714224082
          0,           0,         236,      -4.903325033,      -2.054748444,       -2.02576639,      -2.018979405,      0.5741456317
          0,           0,         237,      -4.901496725,      -2.059613407,      -2.030178956,      -2.024205301,      0.5768539342
          0,           0,         238,      -4.900121859,       -2.06310096,      -2.033896756,      -2.028707768,      0.5791097694
          0,           0,         239,      -4.899550335,      -2.065606633,      -2.037089904,      -2.032603061,      0.5805328287
          0,           0,         240,      -4.900080694,      -2.067570473,      -2.039951766,      -2.036037687,       0.580800978
          0,           0,         241,      -4.901954362,      -2.069436202,      -2.042683385,      -2.039177269,      0.5796546506
          0,           0,         242,      -4.905355211,      -2.071621125,      -2.045480405,      -2.042194683,       0.576895832
          0,           0,         243,      -4.910413751,      -2.074497545,      -2.048523405,      -2.045260291,      0.5723824488
          0,           0,         244,      -4.917212191,      -2.078386275,      -2.051971901,       -2.04853434,      0.5660222771
          0,           0,         245,       -4.92578747,      -2.083556097,      -2.055959821,      -2.052161229,      0.5577691571
          0,           0,         246,      -4.936135115,      -2.090230021,      -2.060593366,      -2.056264195,      0.5476181757
          0,           0,         247,      -4.948205335,      -2.098586788,      -2.065951247,      -2.060942886,      0.5356089793
          0,           0,         248,      -4.961898383,      -2.108765266,      -2.072082207,       -2.06627237,      0.5218302526
          0,           0,         249,      -4.977058526,      -2.120868365,      -2.079005181,       -2.07230334,      0.5064261075
          0,           0,         250,      -4.993462968,      -2.134959957,      -2.086709318,      -2.079061327,      0.4896083263
          0,           0,         251,      -5.010813686,      -2.151061736,      -2.095156331,      -2.086547653,      0.4716666456
          0,           0,         252,      -5.028733527,      -2.169141626,      -2.104280902,      -2.094742239,        0.45297734
          0,           0,         253,      -5.046765613,      -2.189095747,      -2.113992205,      -2.103604074,      0.4340072198
