Density,Momentum:0,Momentum:1,Momentum:2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity:0,Velocity:1,Velocity:2,Laminar_Viscosity,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Heat_Flux,Y_Plus,Eddy_Viscosity,X/C,Points:1,Points:2
0.89812,0,0,0,71.22,0,28.488,0.99916,0,-6.5163,0,0,0,1.67E-07,-0.013806,0.055235,0,0,1.9594,0,0.00046913,-0.0038058,0
0.8936,0,0,0,70.85,0,28.34,0.999,0,-6.812,0,0,0,1.67E-07,-0.012612,0.057474,0,0,2.0138,0,0.00036295,-0.0033513,0
0.88942,0,0,0,70.509,0,28.204,0.99887,0,-7.085,0,0,0,1.67E-07,-0.011373,0.059513,0,0,2.068,0,0.00027624,-0.0029267,0
0.88557,0,0,0,70.195,0,28.078,0.99874,0,-7.3359,0,0,0,1.67E-07,-0.010112,0.061352,0,0,2.1223,0,0.00020611,-0.0025306,0
0.88204,0,0,0,69.908,0,27.963,0.99863,0,-7.5658,0,0,0,1.66E-07,-0.0088492,0.062999,0,0,2.1771,0,0.00015008,-0.0021613,0
0.87882,0,0,0,69.645,0,27.858,0.99854,0,-7.7758,0,0,0,1.66E-07,-0.0076,0.064462,0,0,2.2327,0,0.00010594,-0.0018174,0
0.87586,0,0,0,69.405,0,27.762,0.99846,0,-7.9677,0,0,0,1.66E-07,-0.0063774,0.065748,0,0,2.2894,0,7.18E-05,-0.0014974,0
0.87317,0,0,0,69.187,0,27.675,0.99838,0,-8.1425,0,0,0,1.66E-07,-0.0051922,0.06687,0,0,2.3476,0,4.60E-05,-0.0011997,0
0.87069,0,0,0,68.987,0,27.595,0.99833,0,-8.3028,0,0,0,1.66E-07,-0.0040522,0.067837,0,0,2.4076,0,2.72E-05,-0.0009231,0
0.86843,0,0,0,68.805,0,27.522,0.99829,0,-8.4479,0,0,0,1.66E-07,-0.0029635,0.068671,0,0,2.4701,0,1.42E-05,-0.00066607,0
0.86631,0,0,0,68.636,0,27.454,0.99828,0,-8.5832,0,0,0,1.66E-07,-0.0019292,0.069365,0,0,2.5348,0,5.82E-06,-0.00042736,0
0.86463,0,0,0,68.504,0,27.402,0.99828,0,-8.6889,0,0,0,1.66E-07,-0.00095124,0.069865,0,0,2.6016,0,1.35E-06,-0.00020572,0
0.86243,0,0,0,68.327,0,27.331,0.99826,0,-8.8302,0,0,0,1.66E-07,6.39E-15,0.069595,0,0,2.6499,0,0,0,0
0.86033,0,0,0,68.157,0,27.263,0.99819,0,-8.9668,0,0,0,1.66E-07,0.00094793,0.069622,0,0,2.5908,0,1.35E-06,0.00020572,0
0.85906,0,0,0,68.05,0,27.22,0.99811,0,-9.0518,0,0,0,1.66E-07,0.0019347,0.069562,0,0,2.5281,0,5.82E-06,0.00042736,0
0.85725,0,0,0,67.9,0,27.16,0.99801,0,-9.1718,0,0,0,1.66E-07,0.0030065,0.069666,0,0,2.4724,0,1.42E-05,0.00066607,0
0.85533,0,0,0,67.741,0,27.096,0.9979,0,-9.2994,0,0,0,1.66E-07,0.0041642,0.069713,0,0,2.4199,0,2.72E-05,0.0009231,0
0.85336,0,0,0,67.577,0,27.031,0.99779,0,-9.4302,0,0,0,1.66E-07,0.0054099,0.069673,0,0,2.37,0,4.60E-05,0.0011997,0
0.85131,0,0,0,67.407,0,26.963,0.99768,0,-9.5663,0,0,0,1.66E-07,0.0067474,0.069563,0,0,2.323,0,7.18E-05,0.0014974,0
0.8492,0,0,0,67.233,0,26.893,0.99756,0,-9.706,0,0,0,1.66E-07,0.0081763,0.069351,0,0,2.2781,0,0.00010594,0.0018174,0
0.84706,0,0,0,67.056,0,26.822,0.99745,0,-9.8475,0,0,0,1.66E-07,0.0096927,0.069005,0,0,2.2349,0,0.00015008,0.0021613,0
0.84493,0,0,0,66.879,0,26.752,0.99733,0,-9.989,0,0,0,1.66E-07,0.011289,0.068492,0,0,2.1928,0,0.00020611,0.0025306,0
0.84284,0,0,0,66.705,0,26.682,0.99721,0,-10.128,0,0,0,1.66E-07,0.012955,0.067794,0,0,2.1514,0,0.00027624,0.0029267,0
0.84083,0,0,0,66.538,0,26.615,0.9971,0,-10.261,0,0,0,1.66E-07,0.014677,0.066888,0,0,2.1105,0,0.00036295,0.0033513,0
0.83895,0,0,0,66.383,0,26.553,0.99699,0,-10.386,0,0,0,1.66E-07,0.016435,0.06575,0,0,2.0697,0,0.00046913,0.0038058,0
0.83728,0,0,0,66.244,0,26.497,0.99689,0,-10.497,0,0,0,1.66E-07,0.018199,0.064351,0,0,2.0285,0,0.00059799,0.0042916,0
0.83586,0,0,0,66.126,0,26.45,0.9968,0,-10.591,0,0,0,1.66E-07,0.01994,0.062674,0,0,1.9866,0,0.00075319,0.0048102,0
0.83479,0,0,0,66.036,0,26.414,0.99672,0,-10.663,0,0,0,1.66E-07,0.021623,0.060719,0,0,1.9439,0,0.00093876,0.0053627,0
0.83412,0,0,0,65.979,0,26.391,0.99666,0,-10.709,0,0,0,1.66E-07,0.023213,0.058497,0,0,1.9005,0,0.0011592,0.0059503,0
0.83392,0,0,0,65.96,0,26.384,0.99662,0,-10.724,0,0,0,1.66E-07,0.024678,0.05603,0,0,1.8562,0,0.0014194,0.0065739,0
0.83426,0,0,0,65.986,0,26.394,0.99659,0,-10.704,0,0,0,1.66E-07,0.025984,0.053346,0,0,1.8113,0,0.0017246,0.0072341,0
0.83518,0,0,0,66.058,0,26.423,0.9966,0,-10.645,0,0,0,1.66E-07,0.027102,0.050478,0,0,1.7658,0,0.0020806,0.0079314,0
0.8367,0,0,0,66.181,0,26.472,0.99662,0,-10.548,0,0,0,1.66E-07,0.027997,0.047454,0,0,1.7194,0,0.0024934,0.008666,0
0.83884,0,0,0,66.353,0,26.541,0.99667,0,-10.409,0,0,0,1.66E-07,0.02864,0.044302,0,0,1.6721,0,0.0029694,0.0094379,0
0.84159,0,0,0,66.575,0,26.63,0.99674,0,-10.232,0,0,0,1.66E-07,0.029002,0.041052,0,0,1.6235,0,0.0035153,0.010247,0
0.84492,0,0,0,66.843,0,26.737,0.99681,0,-10.017,0,0,0,1.66E-07,0.029067,0.037746,0,0,1.5733,0,0.004138,0.011092,0
0.84877,0,0,0,67.154,0,26.862,0.9969,0,-9.769,0,0,0,1.66E-07,0.028835,0.034434,0,0,1.5218,0,0.0048446,0.011973,0
0.85309,0,0,0,67.501,0,27,0.99698,0,-9.4911,0,0,0,1.66E-07,0.028335,0.031187,0,0,1.4694,0,0.0056425,0.012889,0
0.8578,0,0,0,67.879,0,27.152,0.99706,0,-9.189,0,0,0,1.66E-07,0.027618,0.028076,0,0,1.4169,0,0.0065393,0.013838,0
0.86281,0,0,0,68.28,0,27.312,0.99712,0,-8.8684,0,0,0,1.66E-07,0.026733,0.025152,0,0,1.3651,0,0.0075428,0.01482,0
