Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
122,0.718672,2.20725,1.19708,0.948451,0.094328,0,0.95313,0.12095,0.0399077,0,0.127364,0.630086,-0.825702,0.876735,1.31973,0.131253,0,1.32624
123,0.721463,2.21481,1.19277,0.950089,0.0879586,0,0.954152,0.13144,0.0409136,0,0.13766,0.633546,-0.817978,0.87814,1.31689,0.121917,0,1.32252
124,0.724949,2.22426,1.1875,0.951913,0.0822377,0,0.955459,0.14229,0.0418834,0,0.148326,0.637853,-0.808363,0.879859,1.31308,0.113439,0,1.31797
125,0.7285,2.2339,1.18218,0.953671,0.0770346,0,0.956777,0.15349,0.0428186,0,0.159351,0.642241,-0.798569,0.881594,1.30909,0.105744,0,1.31335
126,0.731691,2.24254,1.17741,0.955207,0.0722435,0,0.957935,0.16504,0.043721,0,0.170733,0.64619,-0.789753,0.883147,1.30548,0.098735,0,1.30921
127,0.734384,2.24982,1.17333,0.956449,0.0677796,0,0.958847,0.17693,0.0445913,0,0.182463,0.649545,-0.782265,0.884476,1.30238,0.0922945,0,1.30565
128,0.736711,2.25611,1.16984,0.957533,0.0635835,0,0.959641,0.18914,0.0454289,0,0.194519,0.65244,-0.775804,0.885611,1.29974,0.0863072,0,1.3026
129,0.738905,2.26204,1.16655,0.958523,0.0596003,0,0.960374,0.20166,0.0462335,0,0.206892,0.655173,-0.769703,0.886681,1.29722,0.0806603,0,1.29973
130,0.741238,2.26836,1.16312,0.959552,0.0557803,0,0.961172,0.21447,0.0470039,0,0.21956,0.658069,-0.763238,0.887798,1.29453,0.0752529,0,1.29671
131,0.743803,2.27529,1.15933,0.960612,0.0520743,0,0.962023,0.22757,0.0477397,0,0.232524,0.661263,-0.75611,0.88903,1.29149,0.0700109,0,1.29338
132,0.746533,2.28267,1.15533,0.961707,0.0484352,0,0.962925,0.24094,0.0484388,0,0.245761,0.66466,-0.748526,0.890329,1.28823,0.0648802,0,1.28986
133,0.749197,2.28986,1.1514,0.962724,0.0448179,0,0.963767,0.25457,0.0490995,0,0.259262,0.667988,-0.741099,0.891604,1.28501,0.0598212,0,1.2864
134,0.751617,2.29639,1.14785,0.963642,0.0411878,0,0.964522,0.26845,0.0497195,0,0.273015,0.67101,-0.734353,0.892755,1.28209,0.054799,0,1.28326
135,0.753682,2.30196,1.1448,0.964408,0.0375094,0,0.965137,0.28255,0.0502954,0,0.286992,0.673599,-0.728574,0.893744,1.2796,0.0497682,0,1.28056
136,0.755381,2.30653,1.1423,0.965047,0.0337576,0,0.965637,0.29687,0.0508249,0,0.301189,0.67573,-0.723817,0.894555,1.27756,0.0446895,0,1.27834
137,0.756673,2.31001,1.1404,0.96555,0.0299079,0,0.966013,0.3114,0.0513046,0,0.315598,0.677351,-0.720198,0.89517,1.27605,0.0395256,0,1.27666
138,0.757481,2.31219,1.13922,0.965899,0.0259373,0,0.966247,0.32611,0.0517306,0,0.330187,0.678366,-0.717934,0.895555,1.27515,0.0342415,0,1.27561
139,0.7578,2.31305,1.13878,0.966111,0.0218277,0,0.966358,0.34099,0.0520992,0,0.344947,0.678759,-0.717056,0.895697,1.27489,0.028804,0,1.27521
